# GNSS Interseismic Velocities — North America-Fixed Reference Frame
# Euler pole used: ITRF2014 — Altamimi et al. (2017), ITRF2014
# Pole lat=-0.248° lon=-80.314° omega=0.1860 deg/Myr
# NA-fixed velocity = ITRF velocity − Euler-predicted NA plate motion
# All velocities in mm/yr; uncertainties are 1-sigma formal errors
#
# station        lat        lon        Ve   Ve_sig        Vn   Vn_sig        Vu   Vu_sig   Ve_pred   Vn_pred   n_obs
# ---------------------------------------------------------------------------------------------------------
  p349       40.7311  -122.3194  -10.2281   0.0211   +8.3261   0.0191   +0.7325   0.0984  -10.0959  -13.8404    5796
  p362       42.2091  -124.2258   -1.4638   0.0199  +12.4281   0.0153   +2.2942   0.0449  -10.0764  -14.3440    5821
  p363       42.8601  -124.0540   -0.9660   0.0312  +11.8002   0.0304   +0.3415   0.0717  -10.2296  -14.2993    2746
  p364       43.0903  -124.4093   +2.8934   0.0161  +13.8561   0.0139   +1.9063   0.0440  -10.2126  -14.3917    5785
  p365       43.3955  -124.2535   +1.7677   0.0176  +12.4389   0.0148   +0.8779   0.0464  -10.2967  -14.3512    5781
  p366       43.6143  -123.9796   +1.0150   0.0223  +11.2990   0.0192   +0.1838   0.0499  -10.3849  -14.2799    5806
  p367       44.5852  -124.0616   +4.8600   0.0193  +11.3187   0.0150   -0.4863   0.0446  -10.5516  -14.3013    5832
  p368       42.5035  -123.3834   -3.9587   0.0180  +10.0536   0.0172   +0.0411   0.0515  -10.2740  -14.1234    5414
  p369       43.1401  -123.4295   -2.0282   0.0216   +9.9179   0.0206   -0.5859   0.0653  -10.3887  -14.1356    3799
  p370       42.1910  -122.6564   -4.7348   0.0208   +8.8846   0.0229   +0.1425   0.0537  -10.3330  -13.9306    5840
  p371       43.3633  -123.0579   -1.8917   0.0186   +8.7675   0.0150   -0.4042   0.0493  -10.4940  -14.0374    5799
  p373       43.6225  -123.3333   -1.1051   0.0178  +10.0077   0.0230   -0.3604   0.0462  -10.4970  -14.1102    5695
  p374       44.3819  -123.5906   +1.8957   0.0197   +9.9927   0.0202   +0.0897   0.0513  -10.5959  -14.1780    5797
  p375       44.6893  -123.4270   +2.3543   0.0176   +9.5750   0.0190   +0.5463   0.0513  -10.6815  -14.1349    5843
  p376       44.9412  -123.1023   +1.8128   0.0196   +8.7305   0.0161   +0.3993   0.0522  -10.7848  -14.0491    5819
  p377       44.0521  -122.8871   -0.1403   0.0195   +7.8040   0.0154   -0.2683   0.0479  -10.6544  -13.9920    5821
  p378       44.5350  -122.9309   +1.3434   0.0195   +8.4865   0.0169   -0.2087   0.0455  -10.7382  -14.0037    5802
  p380       42.2597  -121.7797   -5.2148   0.0160   +7.0968   0.0166   -0.0491   0.0520  -10.4886  -13.6951    5809
  p382       43.1771  -121.7696   -3.4695   0.0187   +6.7430   0.0152   -0.2998   0.0625  -10.6716  -13.6923    5773
